LICENSE NUMBER,LICENSEE NAME,BUSINESS NAME,LICENSE TYPE,ACTIVE,COUNTY,Retail Delivery,Medical Grade,Hemp
030 1000152C94F,Alpine Formulations Inc.            ,Alpine Extracts,Recreational Processor,Yes, Hood River,,,
050 1000163439B,Green Girls Hood River Inc,Gorge Greenery ,Recreational Retailer,Yes, Hood River,Yes,,
020 1000353C508,"Hood River Valley Farm, LLC",Joe Crow Grow Company,Recreational Producer,Yes, Hood River,,,
020 1000361F298,Evan's Creek LLC,Evan's Creek Farms,Recreational Producer,Yes, Hood River,,,
050 100041086CC,Hood River Naturals llc,Hood River Naturals,Recreational Retailer,Yes, Hood River,,Yes,
020 1000427C361,Frontier Farms LLC,Frontier Farms ,Recreational Producer,Yes, Hood River,,,
020 100043439E1,Frontier Farms LLC,Frontier Farms LLC,Recreational Producer,Yes, Hood River,,,
060 10004367659,Frontier Farms LLC,Frontier Farms ,Recreational Wholesaler,Yes, Hood River,,,
050 1000459CA6F,IRRU INVESTMENTS LLC,Evergreen Hood River,Recreational Retailer,Yes, Hood River,,Yes,
020 1000471407C,"Upcountry, LLC",Upcountry,Recreational Producer,Yes, Hood River,,,
020 10006489ECA,Otis Gardens Incorporated,Otis Gardens,Recreational Producer,Yes, Hood River,,,
020 10007358F7F,Roots Life Farm LLC,Roots Life Farm LLC,Recreational Producer,Yes, Hood River,,,
010 10010169AD1,"Anova Laboratory, LLC",Anova Laboratory,Laboratory,Yes, Hood River,,,
020 10017960742,Heady Farms LLC,Heady Farms LLC,Recreational Producer,Yes, Hood River,,,
020 100246536BC,Hood River Cannabis Co,In The Hood,Recreational Producer,Yes, Hood River,,,
020 10026051340,"WM Ranch, LLC","WM Ranch, LLC",Recreational Producer,Yes, Hood River,,,
020 1002625CFC5,"Midnight Trich Farm, LLC",Midnight Trich Farm,Recreational Producer,Yes, Hood River,,,
020 1003248604C,"High Winds Farm, LLC",High Winds Farm,Recreational Producer,Yes, Hood River,,,
050 1004310D221,The Gorge Green Cross Inc.,The Gorge Green Cross,Recreational Retailer,Yes, Hood River,Yes,Yes,
050 1004661768A,Premium Medicine Of Oregon LLC,Farm Grass Table,Recreational Retailer,Yes, Hood River,,,
020 1004852416D,"FOUR SEASON FARM, LLC",Four Season Farm,Recreational Producer,Yes, Hood River,,,
020 10062319BFA,"Big Beard Farms, LLC",Big Beard Farms,Recreational Producer,Yes, Hood River,,,
030 1006352F90E,"High Latitude Extracts, LLC",High Latitude Extracts,Recreational Processor,Yes, Hood River,,,
020 10085787B85,Wildflower Naturals LLC,Glacier Creek Blooms,Recreational Producer,Yes, Hood River,,,
020 10086001ADB,"N45 Cannabis, LLC",N45 Cannabis,Recreational Producer,Yes, Hood River,,,
030 10096360FEB,"FOUR SEASON FARM, LLC",FSF,Recreational Processor,Yes, Hood River,,,
020 100003225DA,TKO Holding Inc.,TKO Reserve,Recreational Producer,Yes,Jackson,,,
020 1000073058A,Sun Breeze Inc,Sunna Ra Acres ,Recreational Producer,Yes,Jackson,,,
050 1000100101A,Sun Breeze Inc,Breeze Botanicals Gold Hill,Recreational Retailer,Yes,Jackson,,,
020 1000125B4E2,Sol Cultivations Inc./ SOL SAP LIMITED PARTNERSHIP,Sol Cultivations INC,Recreational Producer,Yes,Jackson,,,
050 10001271938,Sun Breeze Inc,Breeze Botanicals Ashland,Recreational Retailer,Yes,Jackson,,,
020 1000133AFA3,Siskiyou Cascade Growing Innovations LLC,Siskiyou FloraCulture ,Recreational Producer,Yes,Jackson,,,
020 100018239CD,One Family Farms ,One Family Farms,Recreational Producer,Yes,Jackson,,,
020 1000191DF61,"Applegate Gold, LLC","Applegate Gold, LLC",Recreational Producer,Yes,Jackson,,,
050 1000200318F,481 Retail LLC,Madrone Cannabis Club,Recreational Retailer,Yes,Jackson,,Yes,
020 10002115500,"Dicot Derby Farms, LLC",Dicot Farms,Recreational Producer,Yes,Jackson,,,
020 1000299E422,Pilot Farms LLC,Pilot Farms,Recreational Producer,Yes,Jackson,,,
020 1000310A051,Mountain Sun Botanicals Inc.,Mountain Sun Botanicals,Recreational Producer,Yes,Jackson,,,
020 10003224875,"Seed Soil Sun, LLC",Seed Soil Sun,Recreational Producer,Yes,Jackson,,,
020 1000348FC6E,Tomato Hill Company,Tomato Hill Company,Recreational Producer,Yes,Jackson,,,
050 1000458911D,Talent Health Club LLC,Talent Health Club,Recreational Retailer,Yes,Jackson,,,
020 1000525C461,Sleepy Shepard farms LLC,High Hopes Farm,Recreational Producer,Yes,Jackson,,,
020 10005776262,Grass Roots Nursery LLC,Grass Roots Nursery,Recreational Producer,Yes,Jackson,,,
020 1000616D3D4,Ten Mile Farm LLC,Ten Mile Farm ,Recreational Producer,Yes,Jackson,,,
020 10006408104,"WILLIAM'S WONDER FARMS, LLC",William's Wonder Farms,Recreational Producer,Yes,Jackson,,,
020 1000660225B,"Chosen Ventures, LLC",Dirty Arm Farm,Recreational Producer,Yes,Jackson,,,
050 100069626B0,Emerald Corner Corporation,Oregon Farmacy,Recreational Retailer,Yes,Jackson,,,
020 1000727CE8E,Summit Cannabis LLC,Summit Cannabis,Recreational Producer,Yes,Jackson,,,
020 1000731B88D,"Happy Camp, LLC",Happy Camp,Recreational Producer,Yes,Jackson,,,
020 10007916FAE,"Liontree Farms, LLC",Liontree Farms LLC,Recreational Producer,Yes,Jackson,,,
030 10008327AD3,"Wild Rogue Extracts, LLC","Wild Rogue Extracts, LLC",Recreational Processor,Yes,Jackson,,,
020 10008983FEC,Innovative Concepts Worldwide INC,Green Bull Farms 724,Recreational Producer,Yes,Jackson,,,
020 1000899A53D,Innovative Concepts Worldwide INC,Green Bull Farms,Recreational Producer,Yes,Jackson,,,
020 10009109ECE,"Phoenix Rising Productions, Inc",Phoenix Rising Farm,Recreational Producer,Yes,Jackson,,,
020 1000938E0EE,Hedgpeth Farms LLC,Hedgpeth Farms LLC,Recreational Producer,Yes,Jackson,,,
020 1001038F8AB,Happy Grow Lucky Farms LLC.,Happy Grow Lucky Farms,Recreational Producer,Yes,Jackson,,,
020 1001044C1D9,Black Market Distribution LLC,Black Market Distribution,Recreational Producer,Yes,Jackson,,,
020 100105904E2,"Atlas Collective, LLC","Atlas Collective, LLC",Recreational Producer,Yes,Jackson,,,
020 1001088628E,"F2CM, LLC",F2CM I,Recreational Producer,Yes,Jackson,,,
020 1001116FB92,Hillside Herbs LLC,Hillside Herbs / Roganja / Massive Seeds,Recreational Producer,Yes,Jackson,,,
020 10011670CB7,"West Coast Farms, LLC.",West Coast Farms,Recreational Producer,Yes,Jackson,,,
020 10012592813,SOCC LLC,Southern Oregon Cannabis Company,Recreational Producer,Yes,Jackson,,,
020 10012802F03,Thomas&Minchow LLC ,High Valley Organics,Recreational Producer,Yes,Jackson,,,
020 10013512D09,Double Bar KZ LLC,Double Bar KZ Ranch,Recreational Producer,Yes,Jackson,,,
020 10013522863,SOCC LLC,Southern Oregon Cannabis Company,Recreational Producer,Yes,Jackson,,,
020 1001356D897,"La Mota, LLC",La Mota LLC,Recreational Producer,Yes,Jackson,,,
060 10013572A70,Black Market Distribution LLC,Black Market Distribution,Recreational Wholesaler,Yes,Jackson,,,
050 100136209F4,La Mota 6 LLC & Rosa Cazares,La Mota 6 LLC,Recreational Retailer,Yes,Jackson,Yes,,
020 10013776828,SOCC LLC,Southern Oregon Cannabis Company,Recreational Producer,Yes,Jackson,,,
020 1001471F91A,Jefferson State Farms LLC,Jefferson State Farms LLC,Recreational Producer,Yes,Jackson,,,
020 1001546468C,URT Gardens LLC, Upper Rogue Terraces,Recreational Producer,Yes,Jackson,,,
020 100155562C5,"La Mota, LLC",La Mota  ,Recreational Producer,Yes,Jackson,,,
020 10015572973,Solstice Botanicals LLC,Sister Cannabis,Recreational Producer,Yes,Jackson,,,
020 10015742A07,Steven Dean Hanlin,Steve Dean Hanlin,Recreational Producer,Yes,Jackson,,,
050 1001576D112,Sheryl Rabitoy & Robert Rabitoy,Rogue River Herbal PMC,Recreational Retailer,Yes,Jackson,Yes,Yes,
020 1001594C586,ZPD LLC,Eufloria,Recreational Producer,Yes,Jackson,,,
020 100161996B8,Sweden Farms LLC,Sweden CBD,Recreational Producer,Yes,Jackson,,,
010 1001626980D,"Smith Scientific Industries, Inc.",Evio Labs Medford,Laboratory,Yes,Jackson,,,
020 10016476EEA,HGP  LLC,HG Pharms,Recreational Producer,Yes,Jackson,,,
020 1001657D6FF,Oregon Grown Organics LLC,Oregon Grown Organics ,Recreational Producer,Yes,Jackson,,,
020 1001669AC27,Arm J LLC,The Cannabis Farm,Recreational Producer,Yes,Jackson,,,
020 10016785D0D,"Something Special Farms, LLC",Something Special Farms,Recreational Producer,Yes,Jackson,,,
020 10016808267,Applegate Valley Organics LLC,"Nectar, Applegate Valley Organics",Recreational Producer,Yes,Jackson,,,
020 1001685AB0F,Butte Creek Ranch Farms 1300 LLC,Butte Creek Farms,Recreational Producer,Yes,Jackson,,,
020 10017225925,"Chronic Cultures, Inc",Chronic Cultures,Recreational Producer,Yes,Jackson,,,
020 10017261562,Butte Creek Ranch Farms 1100 LLC,Butte Creek Farms,Recreational Producer,Yes,Jackson,,,
020 10017550229,"BJS A Grade, LLC",BJS A Grade,Recreational Producer,Yes,Jackson,,,
020 10017577A3E,Applegate Valley Organics LLC,"Nectar, Applegate Valley Organics",Recreational Producer,Yes,Jackson,,,
020 1001758A0F3,Applegate Valley Organics LLC,"Nectar, Applegate Valley Organics",Recreational Producer,Yes,Jackson,,,
020 1001759E7E2,Applegate Valley Organics LLC,"Nectar, Applegate Valley Organics",Recreational Producer,Yes,Jackson,,,
020 10017603833,Applegate Valley Organics LLC,"Nectar, Applegate Valley Organics",Recreational Producer,Yes,Jackson,,,
020 1001769A99E,Terra Verde Inc.,Terra Verde,Recreational Producer,Yes,Jackson,,,
020 1001770413E,Terra Verde Inc.,Terra Verde,Recreational Producer,Yes,Jackson,,,
020 10017878444,"RJJ, LLC and Paula Dale",RJJ Farms,Recreational Producer,Yes,Jackson,,,
020 100181489B4,Benzley Investments LLC,Lake Creek Cannabis,Recreational Producer,Yes,Jackson,,,
020 1001853D6B2,Lick Creek Farm Inc,Lick Creek Farm Inc,Recreational Producer,Yes,Jackson,,,
020 10018745FE4,Thomas and Dawn Hodgkins,South Fork Farming,Recreational Producer,Yes,Jackson,,,
020 1001876ADDC,Luminous Gardens LLC,Luminous Gardens,Recreational Producer,Yes,Jackson,,,
020 100191102B4,MCK FARMS LLC,mck farms,Recreational Producer,Yes,Jackson,,,
020 10019342283,"Emerald Cannabis Worx, LLC",Emerald Cannabis Worx,Recreational Producer,Yes,Jackson,,,
020 1001938E2CC,"Emerald Fields, Inc., Dick Herzog, Rachel Herzog",Emerald Fields,Recreational Producer,Yes,Jackson,,,
020 1001966648F,T & M Trading,T & M Trading,Recreational Producer,Yes,Jackson,,,
020 10020138D3F,Graves Farm LLC / Dennis Byrne,Graves Farm ,Recreational Producer,Yes,Jackson,,,
020 10020490764,META NATURALS LLC,META NATURALS LLC,Recreational Producer,Yes,Jackson,,,
020 10020614D35,Ashland Productions LLC,Ashland Productions,Recreational Producer,Yes,Jackson,,,
020 10020892B00,"Mongo Ranch, LLC",Mongo Ranch,Recreational Producer,Yes,Jackson,,,
030 10021400628,"Chosen Ventures, LLC",Dirty Arm Farm,Recreational Processor,Yes,Jackson,,,
020 1002210686A,"Oregon Grow, LLC ","Oregon Grow, LLC",Recreational Producer,Yes,Jackson,,,
020 1002220E48B,"High Rise Collective, LLC",High Rise Collective,Recreational Producer,Yes,Jackson,,,
020 1002243624B,"Lotus Apothecary, LLC","Lotus Apothecary, LLC",Recreational Producer,Yes,Jackson,,,
020 1002246CB04,"OM Farms, LLC","OM Farms, LLC",Recreational Producer,Yes,Jackson,,,
030 10022969EC9,META NATURALS LLC,META NATURALS LLC,Recreational Processor,Yes,Jackson,,,
020 10023044A48,"P&E Green Solutions, LLC",Solsgreen,Recreational Producer,Yes,Jackson,,,
030 10023052C43,"P&E Green Solutions, LLC",Solsgreen,Recreational Processor,Yes,Jackson,,,
060 100230673AE,"P&E Green Solutions, LLC",Solsgreen,Recreational Wholesaler,Yes,Jackson,,,
020 1002307A374,Porta Farms LLC,Porta Farms,Recreational Producer,Yes,Jackson,,,
020 1002355DD81,"Gong-Ji Farm, LLC",Gong-Ji Farm LLC,Recreational Producer,Yes,Jackson,,,
020 10024427CAA,Climax Farms LLC,Climax Farms,Recreational Producer,Yes,Jackson,,,
020 10024813462,"Sixtech, LLC",Sixtech,Recreational Producer,Yes,Jackson,,,
020 10025784A94,"Primo Farms, LLC",Primo Farms,Recreational Producer,Yes,Jackson,,,
060 1002592350F,"Highly Distributed, LLC",Highly Distributed,Recreational Wholesaler,Yes,Jackson,,Yes,
020 10026142BC2,Decibel Farms Inc.,Decibel Farms,Recreational Producer,Yes,Jackson,,,
050 10026282919,"Fireside Dispensary, Inc.",Fireside Dispensary,Recreational Retailer,Yes,Jackson,,Yes,
020 10026411B79,"Ashland Organics, LLC",528hz Gardens,Recreational Producer,Yes,Jackson,,,
020 1002647322E,M and B Vineyards LLC,Leap Farms,Recreational Producer,Yes,Jackson,,,
020 1002661668E,Foley Farms LLC,Foley Farms,Recreational Producer,Yes,Jackson,,,
020 10026718E65,"Self Made Farms, LLC",Self Made Cannabis Company,Recreational Producer,Yes,Jackson,,,
020 1002678C19E,"Applegate River, LLC",Folia,Recreational Producer,Yes,Jackson,,,
020 1002714AEEF,Grizzly Peak Farm LLC,Grizzly Peak Farm,Recreational Producer,Yes,Jackson,,,
020 1002716FC9F,Sugar Tree Farm LLC,Sugar Tree Farm,Recreational Producer,Yes,Jackson,,,
020 100277503CF,M and B Vineyards LLC,Leap Farms,Recreational Producer,Yes,Jackson,,,
020 1002782C0E7,"Self Made Farms, LLC","Self Made Farms, LLC",Recreational Producer,Yes,Jackson,,,
060 100280695C8,Jefferson Packing House LLC,Jefferson Packing House ,Recreational Wholesaler,Yes,Jackson,,,
020 1002853B750,Oregon Cannabis Farms L.L.C. ,"Oregon Cannabis Farms, LLC",Recreational Producer,Yes,Jackson,,,
020 100305975BF,"HGHA, LLC",HGP II ,Recreational Producer,Yes,Jackson,,,
060 100306077C1,"HGHA, LLC",HGWS,Recreational Wholesaler,Yes,Jackson,,Yes,
020 100319583CC,"Minthorne, LLC",Minthorne LLC,Recreational Producer,,Jackson,,,
020 10032569988,"ORYGANJ, LLC","ORYGANJ, LLC",Recreational Producer,Yes,Jackson,,,
050 10032676561,"3LB Retail, LLC",Hijinx Cannabis Co,Recreational Retailer,Yes,Jackson,Yes,Yes,
020 1003304ACE7,Alternative Organics LLC,Alternative Organics,Recreational Producer,Yes,Jackson,,,
020 10033877979,Essence Farm INC.,Essence Farm INC.,Recreational Producer,Yes,Jackson,,,
050 100342445FA,"Green Valley Wellness, LLC",Green Valley Wellness,Recreational Retailer,Yes,Jackson,,Yes,
020 1003530E1D4,Eagle Green Farm LLC,Eagle Green Farm LLC,Recreational Producer,Yes,Jackson,,,
020 100357722F0,"CH Organics, LLC",CopperHead Organic Farms,Recreational Producer,Yes,Jackson,,,
060 1003632ACAB,"Eek, Inc.",Eek Inc. ,Recreational Wholesaler,Yes,Jackson,,Yes,
020 1003751023B,"500 Enterprises, Inc.",Rogue Ops,Recreational Producer,Yes,Jackson,,,
030 10037523839,Sun Breeze Inc,Sun God Medicinals,Recreational Processor,Yes,Jackson,,Yes,Yes
020 1003798EEFC,Haze Farms LLC,Haze Farms LLC,Recreational Producer,Yes,Jackson,,,
030 1003931C0EA,"HGHA, LLC",HGX,Recreational Processor,Yes,Jackson,,,
020 1003949684C,Guava Grove LLC,The Beaver State Cannabis Company,Recreational Producer,Yes,Jackson,,,
020 1003987B4AA,"Gas House Farms, LLC",Gas House Farms,Recreational Producer,Yes,Jackson,,,
020 10040479F50,River Grown LLC,River Grown ,Recreational Producer,Yes,Jackson,,,
020 100417297FE,"Chez Day West, LLC & Noah Edwards",Starseed Organics,Recreational Producer,Yes,Jackson,,,
020 10041847FC2,KR50 Holdings Inc. / Joy Luck Farm LLC.,Epic Family Farms,Recreational Producer,Yes,Jackson,,,
020 1004204F9D8,"Kumba Hills Farm, LLC",Kumba Hills Farms,Recreational Producer,Yes,Jackson,,,
030 10042585997,"Canna Fusion, LLC & West Coast Baked Goodness, LLC",CANNA-FUSION,Recreational Processor,Yes,Jackson,,,
020 10043391E23,Kenjan Enterprises LLC,Kenjan Enterprises LLC,Recreational Producer,Yes,Jackson,,,
020 100439807B5,JV Applegate LLC,Green T Farms,Recreational Producer,Yes,Jackson,,,
020 1004402658D,Elvis Oil Company LLC,Benson Elvis,Recreational Producer,Yes,Jackson,,,
020 1004408DE2D,"TLR Enterprises, LLC",Rolen Stone Farms,Recreational Producer,Yes,Jackson,,,
050 1004450CCA0,"House Of Leaves, LLC","House of Leaves, LLC",Recreational Retailer,Yes,Jackson,Yes,Yes,
020 1004548614C,Rose Sol Holdings LLC,SOLO Farms,Recreational Producer,Yes,Jackson,,,
060 10046676837,"SJDM, INC","Pharmer's Market, ABN",Recreational Wholesaler,Yes,Jackson,,Yes,
050 1004675B760,Top Shelf Wellness Center,Top Shelf Wellness Center,Recreational Retailer,Yes,Jackson,Yes,Yes,
020 1004685EE62,Dirk Johnson,High Horse Acres,Recreational Producer,Yes,Jackson,,,
020 10046929D86,"Citrine Gardens, LLC",The Star Farm,Recreational Producer,Yes,Jackson,,,
020 1004693B783,Golden Stone Farm LLC ,Golden Stone ,Recreational Producer,Yes,Jackson,,,
060 1004799A262,"CWD NORTHWEST, INC","CWD NORTHWEST, INC.",Recreational Wholesaler,Yes,Jackson,,Yes,
050 100480492FF,"Wolf D, LLC",Pharm to Table,Recreational Retailer,Yes,Jackson,Yes,Yes,
050 100485158FE,Cannabiz Experience LLC,"Cannabiz Experience, LLC",Recreational Retailer,Yes,Jackson,Yes,Yes,
020 1004870BBFA,Healing Farms LLC,Healing Farms,Recreational Producer,Yes,Jackson,,,
020 1004899FD57,"Rogue's Lair Improvement, LLC","Rogue's Lair Improvement, LLC",Recreational Producer,Yes,Jackson,,,
030 1005038E5F2,Decibel Farms Inc.,Decibel Farms,Recreational Processor,Yes,Jackson,,,
020 1005054FD1C,Rolling Cascades Farm LLC,Item 9,Recreational Producer,Yes,Jackson,,,
050 10050652956,SkunkRx LLC,SkunkRX,Recreational Retailer,Yes,Jackson,Yes,Yes,
050 10050834F0C,Zachary Kohler,Emerald Triangle Dispensary,Recreational Retailer,Yes,Jackson,Yes,Yes,
030 100511681A8,The CO2 Company LLC,The CO2 Company,Recreational Processor,Yes,Jackson,,,
050 10051449C85,"Rogue Valley Dispensary, LLC",Rogue Valley Cannabis,Recreational Retailer,Yes,Jackson,,Yes,
050 10051560067,"FJ VENTURES, LLC",Sensible Cannabis Company,Recreational Retailer,Yes,Jackson,Yes,Yes,
050 100516768FC,Marigold Enterprises LLC,American Cannabis Company,Recreational Retailer,Yes,Jackson,Yes,Yes,
050 10051948111,Patients Helping Patients LLC,C&C Farms Rec Shop,Recreational Retailer,Yes,Jackson,,,
030 10051970949,"OM Extracts, LLC",OM Extracts,Recreational Processor,Yes,Jackson,,Yes,Yes
050 10052360AEA,Dab Town USA LLC,Dab Town USA,Recreational Retailer,Yes,Jackson,,,
050 10053165466,Wicked Rain 76 LLC,The Wicked Flower Shoppe,Recreational Retailer,Yes,Jackson,,,
050 100534417C0,Grateful Meds LLC,Grateful Meds,Recreational Retailer,Yes,Jackson,,Yes,
020 1005351D67C,"Million Elephants, LLC","Million Elephants, LLC",Recreational Producer,Yes,Jackson,,,
050 10053526C7A,Meadow Camp LLC,Market Street Wellness,Recreational Retailer,Yes,Jackson,,,
020 1005384CF06,"Shamrock Farming Company, LLC",Shamrock Farming Company,Recreational Producer,Yes,Jackson,,,
020 10053887289,Jensen Ranch LLC,Jensen Ranch ,Recreational Producer,Yes,Jackson,,,
020 10054000EF8,"MMLW,LLC ",Table Rock Farms,Recreational Producer,Yes,Jackson,,,
020 1005418E02F,Dope Nuggets LLC,Dope Nuggets,Recreational Producer,Yes,Jackson,,,
060 100544359F4,The CO2 Company LLC,The CO2 Company,Recreational Wholesaler,Yes,Jackson,,,
020 10054665475,"Lake Creek Vineyards, LLC","Lake Creek Vineyards, LLC",Recreational Producer,Yes,Jackson,,,
020 1005505E546,"WILLIAM'S WONDER FARMS, LLC",William's Wonder Farms,Recreational Producer,Yes,Jackson,,,
020 10055769A84,Oso Verde LLC,Oso Verde Farms,Recreational Producer,Yes,Jackson,,,
050 1005582DBA5,"WEEDBUCKS, LLC",Weedbucks,Recreational Retailer,Yes,Jackson,,Yes,
030 10056345C32,Honey Pot Oil Co.,Honey Pot Oil Company,Recreational Processor,Yes,Jackson,,,
050 10057478750,Lee Consulting of Oregon LLC,Kush Gardens Co.,Recreational Retailer,Yes,Jackson,,,
050 1005779006B,OGC Inc.,Oregon Grown Cannabis Recreational Dispensary ( OGC Inc.),Recreational Retailer,Yes,Jackson,Yes,Yes,
020 10058986506,"Mobelly Farms, LLC",Mobelly Farms,Recreational Producer,Yes,Jackson,,,
020 1005915288C,"Remedy River, LLC","Remedy River, LLC",Recreational Producer,Yes,Jackson,,,
020 1005922CF0C,"Remedy River, LLC",Remedy River,Recreational Producer,Yes,Jackson,,,
020 10059334FDB,"Blohm Welles Farms, LLC","Blohm Welles Farms, LLC",Recreational Producer,Yes,Jackson,,,
020 10059381F15,Rabbit Hills Farm LLC,Rabbit Hill Farms,Recreational Producer,Yes,Jackson,,,
020 10059414AE1,Bishop Orchards LLC,Bishop Orchards,Recreational Producer,Yes,Jackson,,,
030 1005949CBB3,Queen B Labs LLC,Queen B Labs / Flat Earth Farms / Flat Earth Extracts / Cosmic Alchemy,Recreational Processor,Yes,Jackson,,Yes,
060 10059502378,Queen B Labs LLC,Queen B Labs,Recreational Wholesaler,Yes,Jackson,,Yes,
020 10059940243,Fractal Farm LLC,Fractal Farms,Recreational Producer,Yes,Jackson,,,
020 100600698D6,"Opus 420, LLC",Opus Organics,Recreational Producer,Yes,Jackson,,,
050 10060288656,Ground Up Farms LLC,Ground Up,Recreational Retailer,Yes,Jackson,,,
020 1006080D1FB,Kama'aina Gardens LLC,Kama'aina Gardens,Recreational Producer,Yes,Jackson,,,
020 100609315B5,BJS A Grade,BJS A Grade,Recreational Producer,Yes,Jackson,,,
050 10061095779,TJH Enterprises LLC,Cloud 9 Wellness,Recreational Retailer,Yes,Jackson,,,
020 10061368900,"Applegate River, LLC",Folia,Recreational Producer,Yes,Jackson,,,
020 100614380D8,"Crowfoot Organic Farm, Incorporated",Crowfoot Cannabis,Recreational Producer,Yes,Jackson,,,
020 1006168AB1B,"Grown Rogue Gardens LLC/Grown Rogue Distribution, LLC",Grown Rogue Gardens,Recreational Producer,Yes,Jackson,,,
020 10061917141,Old Gold Gardens LLC,Old Gold Gardens,Recreational Producer,Yes,Jackson,,,
060 1006219C093,"Grown Rogue Gardens LLC/Grown Rogue Distribution, LLC",Grown Rogue Distribution,Recreational Wholesaler,Yes,Jackson,,,
020 1006266E28B,"Emerald Triangle Farms, LLC","Emerald Triangle Farms, LLC",Recreational Producer,Yes,Jackson,,,
020 1006272D47F,The Factory LLC,Hashland ,Recreational Producer,Yes,Jackson,,,
020 100627678F4,Great American Ranch LLC,Great American Ranch,Recreational Producer,Yes,Jackson,,,
020 100633273E9,BST LLC,Slyy Cannabis,Recreational Producer,Yes,Jackson,,,
030 1006343C9F9,BST LLC,Slyy Cannabis,Recreational Processor,Yes,Jackson,,,
020 10063940AA8,Grown Rogue Gardens LLC,Grown Rogue Gardens,Recreational Producer,Yes,Jackson,,,
060 1006395322D,High Life Distribution Co LLC,High Life Distribution Co,Recreational Wholesaler,Yes,Jackson,,,
020 1006416525E,Smpkns S Corp,SACRED FLOWER FARMS,Recreational Producer,Yes,Jackson,,,
020 1006426E527,FLW VENTURES LLC,Corner Creek Farms,Recreational Producer,Yes,Jackson,,,
020 1006449A042,"Sweet Tooth Canndy, LLC",Sweet Tooth Canndy,Recreational Producer,Yes,Jackson,,,
020 1006499A7C8,Village Green Incorporated,Village Green,Recreational Producer,Yes,Jackson,,,
020 1006501B9DE,"Self Made Farms, LLC",Self Made Cannabis Company,Recreational Producer,Yes,Jackson,,,
030 10065257267,Oregon Original LLC,Oregon Original LLC,Recreational Processor,Yes,Jackson,,,
020 1006526E154,Elvis Oil Company LLC,Benson Elvis,Recreational Producer,Yes,Jackson,,,
020 1006547E92E,Suzanne Marie Gordon & Tamara Jo Radford,Serendipity Farm,Recreational Producer,Yes,Jackson,,,
020 1006614CE5D,"BOOMTOWN FARMS, LLC",BOOMTOWN FARMS,Recreational Producer,Yes,Jackson,,,
020 1006674CCC0,"M3M, LLC","M3M, LLC",Recreational Producer,Yes,Jackson,,,
020 1006680E29B,"BG3 Productions, LLC","BG3 Productions, LLC",Recreational Producer,Yes,Jackson,,,
020 10067458347,Bonafide Cannabis LLC,Bonafide Cannabis,Recreational Producer,Yes,Jackson,,,
030 10068153B20,Rogue Gold Inc.,Rogue Gold,Recreational Processor,Yes,Jackson,,,
050 10068220B65,"House Of Leaves, LLC",House of Leaves Medford,Recreational Retailer,Yes,Jackson,,,
020 1006861D757,CANNA ROYALE,CANNA ROYALE / RAW ZEN,Recreational Producer,Yes,Jackson,,,
030 100688983CF,Full Circle Concepts LLC,Eminence CX,Recreational Processor,Yes,Jackson,,,
020 1006994D39A,Tmcc LLC,Tmcc,Recreational Producer,Yes,Jackson,,,
030 1007021E099,Summit Cannabis LLC,Summit Cannabis,Recreational Processor,Yes,Jackson,,,
020 1007039B946,Rogue River Family Farms LLC,Rogue River Family Farms,Recreational Producer,Yes,Jackson,,,
020 1007105ECC8,JJ Farms Oregon LLC,"JJ Farms Oregon, LLC",Recreational Producer,Yes,Jackson,,,
020 1007118C551,"Red Barn Industries, LLC","Red Barn Industries, LLC",Recreational Producer,Yes,Jackson,,,
020 10071571776,"Butte Creek Ranch Farm 1801, LLC",Butte Creek Farms,Recreational Producer,Yes,Jackson,,,
020 10072355473,Wild Flower Farms LLC,Wild Flower Farms,Recreational Producer,Yes,Jackson,,,
020 100725761AF,LUNA COW LLC,Luna Cow LLC,Recreational Producer,Yes,Jackson,,,
020 1007279AAC5,"Green Star Growing, LLC",Green Star Growing,Recreational Producer,Yes,Jackson,,,
020 10073026078,"Cook Investments Northwest Oregon, LLC",Buddies Farms,Recreational Producer,Yes,Jackson,,,
020 1007303E54E,Urban Pharms LLC ,Urban Pharms LLC,Recreational Producer,Yes,Jackson,,,
020 1007311AE6B,"Cook Investments Northwest Oregon, LLC",Buddies Farms,Recreational Producer,Yes,Jackson,,,
020 1007314DBF1,Urban Pharms LLC ,Urban Pharms,Recreational Producer,Yes,Jackson,,,
020 1007336A7AC,"Attis Farms, LLC",Attis Farms; Celadon Cannabis,Recreational Producer,Yes,Jackson,,,
020 10073739920,"United Farm Company, LLC",United Farm Company LLC,Recreational Producer,Yes,Jackson,,,
020 1007433E43C,Sugar Tree Farm LLC,Sugar Tree Farm 2,Recreational Producer,Yes,Jackson,,,
020 10075403144,2GC HOLDINGS LLC,2GC HOLDINGS,Recreational Producer,Yes,Jackson,,,
050 10075721DCC,"Pacific Northwest Horticulture, LLC",Pacific Northwest Horticulture,Recreational Retailer,Yes,Jackson,,,
020 100758249F3,Waterwheel Ventures LLC,"Waterwheel Ventures, LLC",Recreational Producer,Yes,Jackson,,,
020 1007586196B,Hill Holding Company LLC,Hill Ventures,Recreational Producer,Yes,Jackson,,,
020 10075879BE8,Hydroberry Holdings LLC,"Hydroberry Holdings, LLC",Recreational Producer,Yes,Jackson,,,
020 10075932728,Telos Consulting LLC,Telos Consulting LLC,Recreational Producer,Yes,Jackson,,,
